Ref,Val,Package,PosX,PosY,Rot,Side
"AE1","Antenna_Chip","2400MHz_PCB_Inverted_F",39.542501,13.449998,-90.000000,top
"C1","0u1","C_0201_0603Metric",23.470000,17.250000,0.000000,top
"C2","0u1","C_0201_0603Metric",20.270001,12.110000,0.000000,top
"C3","0u1","C_0201_0603Metric",13.140000,13.099999,-90.000000,top
"C4","0u1","C_0201_0603Metric",15.290000,21.610000,90.000000,top
"C5","0u1","C_0201_0603Metric",13.140000,14.610000,90.000000,top
"C6","0u1","C_0201_0603Metric",13.990000,14.629998,90.000000,top
"C7","4u7","C_0201_0603Metric",13.990001,13.120000,-90.000000,top
"C8","0u1","C_0201_0603Metric",16.860001,21.614999,90.000000,top
"C9","4u7","C_0201_0603Metric",16.080001,21.610000,90.000000,top
"C10","0u1","C_0201_0603Metric",24.270000,19.000000,-90.000000,top
"C11","4u7","C_0201_0603Metric",19.070001,21.290000,0.000000,top
"C12","10p","C_0402_1005Metric",17.920000,10.700000,0.000000,top
"C13","10p","C_0402_1005Metric",15.900001,10.689998,180.000000,top
"C14","0p8","C_0402_1005Metric",26.697501,17.454998,-90.000000,top
"C15","0p3","C_0402_1005Metric",29.747500,17.455000,-90.000000,top
"C16","4u7","C_0201_0603Metric",14.270001,6.849998,-90.000000,top
"C17","4u7","C_0201_0603Metric",16.950000,5.740000,180.000000,top
"C18","4u7","C_0201_0603Metric",8.440001,24.529999,-90.000000,top
"C19","4u7","C_0201_0603Metric",13.452729,24.546397,-90.000000,top
"C20","0u1","C_0201_0603Metric",22.570000,6.300000,90.000000,top
"C21","0u1","C_0201_0603Metric",24.520001,4.049999,180.000000,top
"C22","0u1","C_0201_0603Metric",28.010001,6.200000,-90.000000,top
"C23","100p","C_0201_0603Metric",23.420002,18.999999,-90.000000,top
"D1","B5819W","D_SOD-123",2.820000,10.499998,180.000000,top
"D2","LED","LED_0402_1005Metric",16.162500,26.249999,0.000000,top
"FID1","Fiducial","Fiducial_1mm_Mask2mm",25.920001,26.049999,-90.000000,top
"FID2","Fiducial","Fiducial_1mm_Mask2mm",27.670000,1.400000,-90.000000,top
"FID3","Fiducial","Fiducial_1mm_Mask2mm",6.220000,26.100000,-90.000000,top
"FLT1","DLF162500LT-5028A1","DLF162500LT-5028A1",31.297500,17.930000,0.000000,top
"J1","JST_PH_2.00mm","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",3.519999,6.599999,-90.000000,top
"J3","USB_C_Receptacle_USB2.0","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",3.470000,17.200000,-90.000000,top
"L1","10n","L_0402_1005Metric",17.780002,21.849999,90.000000,top
"L2","10u","L_0805_2012Metric",18.370000,23.999998,0.000000,top
"L3","2n7","L_0402_1005Metric",28.222502,17.929999,0.000000,top
"R1","1k","R_0603_1608Metric",19.502500,4.560000,180.000000,top
"R2","1k","R_0603_1608Metric",16.452501,4.569998,0.000000,top
"R3","5k1","R_0402_1005Metric",8.847501,15.319998,-90.000000,top
"R4","5k1","R_0402_1005Metric",8.786333,19.599998,90.000000,top
"R5","220R","R_0201_0603Metric",14.700000,25.900000,-90.000000,top
"R6","0R","R_0603_1608Metric",25.770002,12.099999,-90.000000,top
"R7","2k2","R_0402_1005Metric",24.420000,11.599998,-90.000000,top
"R8","2k2","R_0402_1005Metric",22.470001,9.200000,90.000000,top
"R10","10k","R_0402_1005Metric",26.320000,3.949998,180.000000,top
"SW1","SW_Push","PinHeader_1x02_P2.54mm_Vertical",19.175002,1.959999,-90.000000,top
"U1","STM32WB55CEU6","QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm",18.562502,16.679999,90.000000,top
"U2","USBLC6-2P6","SOT-666",9.870001,17.449998,0.000000,top
"U3","MIC5365-3.3YD5","SOT-23-5",10.942501,23.910000,0.000000,top
"U5","BNO086","LGA-28_5.2x3.8mm_P0.5mm",25.320001,7.499999,90.000000,top
"X1","32KHz768","830009678",17.890001,8.159999,180.000000,top
"X2","32MHz","Crystal_SMD_TXC_7M-4Pin_3.2x2.5mm",22.830001,22.679999,180.000000,top
